0,test_mae,fit_time,test_time,weighted_sum
BaselineOnly,0.7227369036507092,2.8508182764053345,3.380757689476013,5.274246765537501
NormalPredictor,1.2065118118026583,0.7093944549560547,4.100586771965027,6.00824651936187
SVD,0.7116674182376375,5.552394151687622,3.843379259109497,6.823286392924992
NMF,0.7313447061769975,10.570087194442749,3.9218087196350098,9.430114001666851
SlopeOne,0.7179124089707567,6.637608647346497,75.76275026798248,43.344229853390615
KNNBasic,0.7451222940120164,14.358932495117188,160.01736557483673,89.41346194136788
KNNBaseline,0.7156329359675819,17.27737057209015,161.91822981834412,91.73504292898696
KNNWithMeans,0.7446688810201101,18.174285054206848,196.14687538146973,109.38453900317965
KNNWithZScore,0.7422970276228017,15.559271931648254,203.40357172489166,111.69829705696631
SVDpp,0.6925160758635296,148.80684220790863,90.33576381206512,121.6395070804954
